"In einer Demokratie ist eine Funktion von regelmäßigen Wahlen, …","die Bürgerinnen und Bürger zu zwingen, ihre Stimme abzugeben.",nach dem Willen der Wählermehrheit den Wechsel der Regierung zu ermöglichen.,im Land bestehende Gesetze beizubehalten.,den Armen mehr Macht zu geben.,nach dem Willen der Wählermehrheit den Wechsel der Regierung zu ermöglichen.
Was bekommen wahlberechtigte Bürgerinnen und Bürger in Deutschland vor einer Wahl?,eine Wahlbenachrichtigung von der Gemeinde,eine Wahlerlaubnis von der Bundespräsidentin/von dem Bundespräsidenten,eine Benachrichtigung von der Bundesversammlung,eine Benachrichtigung vom Pfarramt,eine Wahlbenachrichtigung von der Gemeinde
"Warum gibt es die 5%-Hürde im Wahlgesetz der Bundesrepublik Deutschland? Es gibt sie, weil …",die Programme von vielen kleinen Parteien viele Gemeinsamkeiten haben.,die Bürgerinnen und Bürger bei vielen kleinen Parteien die Orientierung verlieren können.,viele kleine Parteien die Regierungsbildung erschweren.,"die kleinen Parteien nicht so viel Geld haben, um die Politikerinnen und Politiker zu bezahlen.",viele kleine Parteien die Regierungsbildung erschweren.
"Parlamentsmitglieder, die von den Bürgerinnen und Bürgern gewählt werden, nennt man …",Abgeordnete.,Kanzlerinnen/Kanzler.,Botschafterinnen/Botschafter.,Ministerpräsidentinnen/Ministerpräsidenten.,Abgeordnete.
Vom Volk gewählt wird in Deutschland …,die Bundeskanzlerin/der Bundeskanzler.,die Ministerpräsidentin/der Ministerpräsident eines Bundeslandes.,der Bundestag.,die Bundespräsidentin/der Bundespräsident.,der Bundestag.
Welcher Stimmzettel wäre bei einer Bundestagswahl gültig?,1,2,3,4,1
In Deutschland ist eine Bürgermeisterin/ein Bürgermeister …,die Leiterin/der Leiter einer Schule.,die Chefin/der Chef einer Bank.,das Oberhaupt einer Gemeinde.,die/der Vorsitzende einer Partei.,das Oberhaupt einer Gemeinde.
Viele Menschen in Deutschland arbeiten in ihrer Freizeit ehrenamtlich. Was bedeutet das?,Sie arbeiten als Soldatinnen/Soldaten.,Sie arbeiten freiwillig und unbezahlt in Vereinen und Verbänden.,Sie arbeiten in der Bundesregierung.,Sie arbeiten in einem Krankenhaus und verdienen dabei Geld.,Sie arbeiten freiwillig und unbezahlt in Vereinen und Verbänden.
Was ist bei Bundestags- und Landtagswahlen in Deutschland erlaubt?,Der Ehemann wählt für seine Frau mit.,Man kann durch Briefwahl seine Stimme abgeben.,Man kann am Wahltag telefonisch seine Stimme abgeben.,Kinder ab dem Alter von 14 Jahren dürfen wählen.,Man kann durch Briefwahl seine Stimme abgeben.
"Man will die Buslinie abschaffen, mit der Sie immer zur Arbeit fahren. Was können Sie machen, um die Buslinie zu erhalten?",Ich beteilige mich an einer Bürgerinitiative für die Erhaltung der Buslinie oder gründe selber eine Initiative.,Ich werde Mitglied in einem Sportverein und trainiere Radfahren.,"Ich wende mich an das Finanzamt, weil ich als Steuerzahlerin/Steuerzahler ein Recht auf die Buslinie habe.",Ich schreibe einen Brief an das Forstamt der Gemeinde.,Ich beteilige mich an einer Bürgerinitiative für die Erhaltung der Buslinie oder gründe selber eine Initiative.
Wen vertreten die Gewerkschaften in Deutschland?,große Unternehmen,kleine Unternehmen,Selbstständige,Arbeitnehmerinnen und Arbeitnehmer,Arbeitnehmerinnen und Arbeitnehmer
Sie gehen in Deutschland zum Arbeitsgericht bei …,falscher Nebenkostenabrechnung.,ungerechtfertigter Kündigung durch Ihre Chefin/Ihren Chef.,Problemen mit den Nachbarinnen/Nachbarn.,Schwierigkeiten nach einem Verkehrsunfall.,ungerechtfertigter Kündigung durch Ihre Chefin/Ihren Chef.
Welches Gericht ist in Deutschland bei Konflikten in der Arbeitswelt zuständig?,das Familiengericht,das Strafgericht,das Arbeitsgericht,das Amtsgericht,das Arbeitsgericht
"Was kann ich in Deutschland machen, wenn mir meine Arbeitgeberin/mein Arbeitgeber zu Unrecht gekündigt hat?",weiterarbeiten und freundlich zur Chefin/zum Chef sein,ein Mahnverfahren gegen die Arbeitgeberin/den Arbeitgeber führen,Kündigungsschutzklage erheben,die Arbeitgeberin/den Arbeitgeber bei der Polizei anzeigen,Kündigungsschutzklage erheben
Wann kommt es in Deutschland zu einem Prozess vor Gericht? Wenn jemand …,zu einer anderen Religion übertritt.,eine Straftat begangen hat und angeklagt wird.,eine andere Meinung als die der Regierung vertritt.,sein Auto falsch geparkt hat und es abgeschleppt wird.,eine Straftat begangen hat und angeklagt wird.
Was macht eine Schöffin/ein Schöffe in Deutschland? Sie/Er …,entscheidet mit Richterinnen/Richtern über Schuld und Strafe.,gibt Bürgerinnen/Bürgern rechtlichen Rat.,stellt Urkunden aus.,verteidigt die Angeklagte/den Angeklagten.,entscheidet mit Richterinnen/Richtern über Schuld und Strafe.
Wer berät in Deutschland Personen bei Rechtsfragen und vertritt sie vor Gericht?,eine Rechtsanwältin/ein Rechtsanwalt,eine Richterin/ein Richter,eine Schöffin/ein Schöffe,eine Staatsanwältin/ein Staatsanwalt,eine Rechtsanwältin/ein Rechtsanwalt
Was ist die Hauptaufgabe einer Richterin/eines Richters in Deutschland? Eine Richterin/ein Richter …,vertritt Bürgerinnen und Bürger vor einem Gericht.,arbeitet an einem Gericht und spricht Urteile.,ändert Gesetze.,betreut Jugendliche vor Gericht.,arbeitet an einem Gericht und spricht Urteile.
Eine Richterin/ein Richter in Deutschland gehört zur …,Judikative.,Exekutive.,Operative.,Legislative.,Judikative.
Eine Richterin/ein Richter gehört in Deutschland zur …,vollziehenden Gewalt.,rechtsprechenden Gewalt.,planenden Gewalt.,gesetzgebenden Gewalt.,rechtsprechenden Gewalt.
In Deutschland wird die Staatsgewalt geteilt. Für welche Staatsgewalt arbeitet eine Richterin/ein Richter? Für die …,Judikative,Exekutive,Presse,Legislative,Judikative
Wie nennt man in Deutschland ein Verfahren vor einem Gericht?,Programm,Prozedur,Protokoll,Prozess,Prozess
Was ist die Arbeit einer Richterin/eines Richters in Deutschland?,Deutschland regieren,Recht sprechen,Pläne erstellen,Gesetze erlassen,Recht sprechen
Was ist eine Aufgabe der Polizei in Deutschland?,das Land zu verteidigen,die Bürgerinnen und Bürger abzuhören,die Gesetze zu beschließen,die Einhaltung von Gesetzen zu überwachen,die Einhaltung von Gesetzen zu überwachen
Wer kann Gerichtsschöffin/Gerichtsschöffe in Deutschland werden?,Alle in Deutschland geborenen Einwohnerinnen/Einwohner über 18 Jahre,Alle deutschen Staatsangehörigen älter als 24 und jünger als 70 Jahre,"Alle Personen, die seit mindestens 5 Jahren in Deutschland leben",Nur Personen mit einem abgeschlossenen Jurastudium,Alle deutschen Staatsangehörigen älter als 24 und jünger als 70 Jahre
Eine Gerichtsschöffin/ein Gerichtsschöffe in Deutschland ist …,die Stellvertreterin/der Stellvertreter des Stadtoberhaupts.,eine ehrenamtliche Richterin/ein ehrenamtlicher Richter.,ein Mitglied eines Gemeinderats.,"eine Person, die Jura studiert hat.",eine ehrenamtliche Richterin/ein ehrenamtlicher Richter.
Wer baute die Mauer in Berlin?,Großbritannien,die DDR,die Bundesrepublik Deutschland,die USA,die DDR
Wann waren die Nationalsozialisten mit Adolf Hitler in Deutschland an der Macht?,1918 bis 1923,1932 bis 1950,1933 bis 1945,1945 bis 1989,1933 bis 1945
Was war am 8. Mai 1945?,Tod Adolf Hitlers,Beginn des Berliner Mauerbaus,Wahl von Konrad Adenauer zum Bundeskanzler,Ende des Zweiten Weltkriegs in Europa,Ende des Zweiten Weltkriegs in Europa
Wann war der Zweite Weltkrieg zu Ende?,1933,1945,1949,1961,1945
Wann waren die Nationalsozialisten in Deutschland an der Macht?,1888 bis 1918,1921 bis 1934,1933 bis 1945,1949 bis 1963,1933 bis 1945
In welchem Jahr wurde Hitler Reichskanzler?,1923,1927,1933,1936,1933
Die Nationalsozialisten mit Adolf Hitler errichteten 1933 in Deutschland …,eine Diktatur.,einen demokratischen Staat.,eine Monarchie.,ein Fürstentum.,eine Diktatur.
"Das ""Dritte Reich"" war eine …",Diktatur.,Demokratie.,Monarchie.,Räterepublik.,Diktatur.
Was gab es in Deutschland nicht während der Zeit des Nationalsozialismus?,freie Wahlen,Pressezensur,willkürliche Verhaftungen,Verfolgung von Juden,freie Wahlen
Welcher Krieg dauerte von 1939 bis 1945?,der Erste Weltkrieg,der Zweite Weltkrieg,der Vietnamkrieg,der Golfkrieg,der Zweite Weltkrieg
Was kennzeichnete den NS-Staat? Eine Politik …,des staatlichen Rassismus,der Meinungsfreiheit,der allgemeinen Religionsfreiheit,der Entwicklung der Demokratie,des staatlichen Rassismus
Claus Schenk Graf von Stauffenberg wurde bekannt durch …,eine Goldmedaille bei den Olympischen Spielen 1936.,den Bau des Reichstagsgebäudes.,den Aufbau der Wehrmacht.,das Attentat auf Hitler am 20. Juli 1944.,das Attentat auf Hitler am 20. Juli 1944.
In welchem Jahr zerstörten die Nationalsozialisten Synagogen und jüdische Geschäfte in Deutschland?,1925,1930,1938,1945,1938
Was passierte am 9. November 1938 in Deutschland?,Mit dem Angriff auf Polen beginnt der Zweite Weltkrieg.,Die Nationalsozialisten verlieren eine Wahl und lösen den Reichstag auf.,Jüdische Geschäfte und Synagogen werden durch Nationalsozialisten und ihre Anhänger zerstört.,Hitler wird Reichspräsident und lässt alle Parteien verbieten.,Jüdische Geschäfte und Synagogen werden durch Nationalsozialisten und ihre Anhänger zerstört.
Wie hieß der erste Bundeskanzler der Bundesrepublik Deutschland?,Konrad Adenauer,Kurt Georg Kiesinger,Helmut Schmidt,Willy Brandt,Konrad Adenauer
"Bei welchen Demonstrationen in Deutschland riefen die Menschen ""Wir sind das Volk""?",beim Arbeiteraufstand 1953 in der DDR,bei den Demonstrationen 1968 in der Bundesrepublik Deutschland,bei den Anti-Atomkraft-Demonstrationen 1985 in der Bundesrepublik Deutschland,bei den Montagsdemonstrationen 1989 in der DDR,bei den Montagsdemonstrationen 1989 in der DDR
"Welche Länder wurden nach dem Zweiten Weltkrieg in Deutschland als ""Alliierte Besatzungsmächte"" bezeichnet?","Sowjetunion, Großbritannien, Polen, Schweden","Frankreich, Sowjetunion, Italien, Japan","USA, Sowjetunion, Spanien, Portugal","USA, Sowjetunion, Großbritannien, Frankreich","USA, Sowjetunion, Großbritannien, Frankreich"
"Welches Land war keine ""Alliierte Besatzungsmacht"" in Deutschland?",USA,Sowjetunion,Frankreich,Japan,Japan
Wann wurde die Bundesrepublik Deutschland gegründet?,1939,1945,1949,1951,1949
Was gab es während der Zeit des Nationalsozialismus in Deutschland?,das Verbot von Parteien,das Recht zur freien Entfaltung der Persönlichkeit,Pressefreiheit,den Schutz der Menschenwürde,das Verbot von Parteien
"Soziale Marktwirtschaft bedeutet, die Wirtschaft …",steuert sich allein nach Angebot und Nachfrage.,"wird vom Staat geplant und gesteuert, Angebot und Nachfrage werden nicht berücksichtigt.",richtet sich nach der Nachfrage im Ausland.,"richtet sich nach Angebot und Nachfrage, aber der Staat sorgt für einen sozialen Ausgleich.","richtet sich nach Angebot und Nachfrage, aber der Staat sorgt für einen sozialen Ausgleich."
In welcher Besatzungszone wurde die DDR gegründet? In der …,amerikanischen Besatzungszone,französischen Besatzungszone,britischen Besatzungszone,sowjetischen Besatzungszone,sowjetischen Besatzungszone
Die Bundesrepublik Deutschland ist ein Gründungsmitglied …,des Nordatlantikpakts (NATO).,der Vereinten Nationen (VN).,der Europäischen Union (EU).,des Warschauer Pakts.,der Europäischen Union (EU).
Wann wurde die DDR gegründet?,1947,1949,1953,1956,1949
Wie viele Besatzungszonen gab es in Deutschland nach dem Zweiten Weltkrieg?,3,4,5,6,4
Wie waren die Besatzungszonen Deutschlands nach 1945 verteilt?,"1=Großbritannien, 2=Sowjetunion, 3=Frankreich, 4=USA","1=Sowjetunion, 2=Großbritannien, 3=USA, 4=Frankreich","1=Großbritannien, 2=Sowjetunion, 3=USA, 4=Frankreich","1=Großbritannien, 2=USA, 3=Sowjetunion, 4=Frankreich","1=Großbritannien, 2=Sowjetunion, 3=USA, 4=Frankreich"
Welche deutsche Stadt wurde nach dem Zweiten Weltkrieg in vier Sektoren aufgeteilt?,München,Berlin,Dresden,Frankfurt/Oder,Berlin
Vom Juni 1948 bis zum Mai 1949 wurden die Bürgerinnen und Bürger von West-Berlin durch eine Luftbrücke versorgt. Welcher Umstand war dafür verantwortlich?,Für Frankreich war eine Versorgung der West-Berliner Bevölkerung mit dem Flugzeug kostengünstiger.,Die amerikanischen Soldatinnen und Soldaten hatten beim Landtransport Angst vor Überfällen.,Für Großbritannien war die Versorgung über die Luftbrücke schneller.,Die Sowjetunion unterbrach den gesamten Verkehr auf dem Landwege.,Die Sowjetunion unterbrach den gesamten Verkehr auf dem Landwege.
Wie endete der Zweite Weltkrieg in Europa offiziell?,mit dem Tod Adolf Hitlers,durch die bedingungslose Kapitulation Deutschlands,mit dem Rückzug der Deutschen aus den besetzten Gebieten,durch eine Revolution in Deutschland,durch die bedingungslose Kapitulation Deutschlands
Der erste Bundeskanzler der Bundesrepublik Deutschland war …,Ludwig Erhard,Willy Brandt,Konrad Adenauer,Gerhard Schröder,Konrad Adenauer
Was wollte Willy Brandt mit seinem Kniefall 1970 im ehemaligen jüdischen Ghetto in Warschau ausdrücken?,Er hat sich den ehemaligen Alliierten unterworfen.,Er bat Polen und die polnischen Juden um Vergebung.,Er zeigte seine Demut vor dem Warschauer Pakt.,Er sprach ein Gebet am Grab des Unbekannten Soldaten.,Er bat Polen und die polnischen Juden um Vergebung.
"Welche Parteien wurden 1946 zwangsweise zur SED vereint, der Einheitspartei der späteren DDR?",KPD und SPD,SPD und CDU,CDU und FDP,KPD und CSU,KPD und SPD
"Wann war in der Bundesrepublik Deutschland das ""Wirtschaftswunder""?",40er Jahre,50er Jahre,70er Jahre,80er Jahre,50er Jahre
"Was nannten die Menschen in Deutschland sehr lange ""Die Stunde Null""?",Damit wird die Zeit nach der Wende im Jahr 1989 bezeichnet.,Damit wurde der Beginn des Zweiten Weltkrieges bezeichnet.,Darunter verstand man das Ende des Zweiten Weltkrieges und den Beginn des Wiederaufbaus.,"Damit ist die Stunde gemeint, in der die Uhr von der Sommerzeit auf die Winterzeit umgestellt wird.",Darunter verstand man das Ende des Zweiten Weltkrieges und den Beginn des Wiederaufbaus.
"Wofür stand der Ausdruck ""Eiserner Vorhang""? Für die Abschottung …",des Warschauer Pakts gegen den Westen,Norddeutschlands gegen Süddeutschland,Nazi-Deutschlands gegen die Alliierten,Europas gegen die USA,des Warschauer Pakts gegen den Westen
"Im Jahr 1953 gab es in der DDR einen Aufstand, an den lange Zeit in der Bundesrepublik Deutschland ein Feiertag erinnerte. Wann war das?",1. Mai,17. Juni,20. Juli,9. November,17. Juni
"Welcher deutsche Staat hatte eine schwarz-rot-goldene Flagge mit Hammer, Zirkel und Ährenkranz?",Preußen,Bundesrepublik Deutschland,"""Drittes Reich""",DDR,DDR
In welchem Jahr wurde die Mauer in Berlin gebaut?,1953,1956,1959,1961,1961
Wann baute die DDR die Mauer in Berlin?,1919,1933,1961,1990,1961
Was bedeutet die Abkürzung DDR?,Dritter Deutscher Rundfunk,Die Deutsche Republik,Dritte Deutsche Republik,Deutsche Demokratische Republik,Deutsche Demokratische Republik
Wann wurde die Mauer in Berlin für alle geöffnet?,1987,1989,1992,1995,1989
Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?,Brandenburg,Bayern,Saarland,Hessen,Brandenburg
Von 1961 bis 1989 war Berlin …,ohne Bürgermeister.,ein eigener Staat.,durch eine Mauer geteilt.,nur mit dem Flugzeug erreichbar.,durch eine Mauer geteilt.
Am 3. Oktober feiert man in Deutschland den Tag der Deutschen …,Einheit.,Nation.,Bundesländer.,Städte.,Einheit.
"Warum nennt man die Zeit im Herbst 1989 in der DDR ""Die Wende""? In dieser Zeit veränderte sich die DDR politisch …",von einer Diktatur zur Demokratie.,von einer liberalen Marktwirtschaft zum Sozialismus.,von einer Monarchie zur Sozialdemokratie.,von einem religiösen Staat zu einem kommunistischen Staat.,Sachsen-Anhalt
Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?,Thüringen,Hessen,Bayern,Bremen,von einer Diktatur zur Demokratie.
Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?,Bayern,Niedersachsen,Sachsen-Anhalt,Baden-Württemberg,Thüringen
"Mit der Abkürzung ""Stasi"" meinte man in der DDR …",das Parlament.,das Ministerium für Staatssicherheit.,eine regierende Partei.,das Ministerium für Volksbildung.,Sachsen-Anhalt
Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?,Hessen,Schleswig-Holstein,Mecklenburg-Vorpommern,Saarland,das Ministerium für Staatssicherheit.
"Welche der folgenden Auflistungen enthält nur Bundesländer, die zum Gebiet der früheren DDR gehörten?","Niedersachsen, Nordrhein-Westfalen, Hessen, Schleswig-Holstein, Brandenburg","Mecklenburg-Vorpommern, Brandenburg, Sachsen, Sachsen-Anhalt, Thüringen","Bayern, Baden-Württemberg, Rheinland-Pfalz, Thüringen, Sachsen","Sachsen, Thüringen, Hessen, Niedersachen, Brandenburg",Mecklenburg-Vorpommern
"Zu wem gehörte die DDR im ""Kalten Krieg""?",zu den Westmächten,zum Warschauer Pakt,zur NATO,zu den blockfreien Staaten,"Mecklenburg-Vorpommern, Brandenburg, Sachsen, Sachsen-Anhalt, Thüringen"
Wie hieß das Wirtschaftssystem der DDR?,Marktwirtschaft,Planwirtschaft,Angebot und Nachfrage,Kapitalismus,zum Warschauer Pakt
Wie wurden die Bundesrepublik Deutschland und die DDR zu einem Staat?,Die Bundesrepublik hat die DDR besetzt.,Die heutigen fünf östlichen Bundesländer sind der Bundesrepublik Deutschland beigetreten.,Die westlichen Bundesländer sind der DDR beigetreten.,Die DDR hat die Bundesrepublik Deutschland besetzt.,Planwirtschaft
Mit dem Beitritt der DDR zur Bundesrepublik Deutschland gehören die neuen Bundesländer nun auch …,zur Europäischen Union.,zum Warschauer Pakt.,zur OPEC.,zur Europäischen Verteidigungsgemeinschaft.,Die heutigen fünf östlichen Bundesländer sind der Bundesrepublik Deutschland beigetreten.
"Was bedeutete im Jahr 1989 in Deutschland das Wort ""Montagsdemonstration""?",In der Bundesrepublik waren Demonstrationen nur am Montag erlaubt.,Montags waren Demonstrationen gegen das DDR-Regime.,Am ersten Montag im Monat trafen sich in der Bundesrepublik Deutschland Demonstranten.,Montags demonstrierte man in der DDR gegen den Westen.,zur Europäischen Union.
In welchem Militärbündnis war die DDR Mitglied?,in der NATO,im Rheinbund,im Warschauer Pakt,im Europabündnis,Montags waren Demonstrationen gegen das DDR-Regime.
"Was war die ""Stasi""?","der Geheimdienst im ""Dritten Reich""",eine berühmte deutsche Gedenkstätte,der Geheimdienst der DDR,ein deutscher Sportverein während des Zweiten Weltkrieges,im Warschauer Pakt
Welches war das Wappen der Deutschen Demokratischen Republik?,Bild 1,Bild 2,Bild 3,Bild 4,der Geheimdienst der DDR
Was ereignete sich am 17. Juni 1953 in der DDR?,der feierliche Beitritt zum Warschauer Pakt,landesweite Streiks und ein Volksaufstand,der 1. SED-Parteitag,der erste Besuch Fidel Castros,kein
"Welcher Politiker steht für die ""Ostverträge""?",Helmut Kohl,Willy Brandt,Michail Gorbatschow,Ludwig Erhard,landesweite Streiks und ein Volksaufstand
Wie heißt Deutschland mit vollem Namen?,Bundesrepublik Deutschland,Bundesländer Deutschland,Bundesstaat Deutschland,Bundesbezirk Deutschland,Willy Brandt
Wie viele Einwohner hat Deutschland?,70 Millionen,78 Millionen,83 Millionen,90 Millionen,Bundesrepublik Deutschland
Welche Farben hat die deutsche Flagge?,schwarz-rot-gold,rot-weiß-schwarz,schwarz-rot-grün,schwarz-gelb-rot,83 Millionen
"Wer wird als ""Kanzler der Deutschen Einheit"" bezeichnet?",Gerhard Schröder,Helmut Kohl,Konrad Adenauer,Helmut Schmidt,schwarz-rot-gold
Welches Symbol ist im Plenarsaal des Deutschen Bundestages zu sehen?,der Bundesadler,die Fahne der Stadt Berlin,der Reichsadler,die Reichskrone,Helmut Kohl
In welchem Zeitraum gab es die Deutsche Demokratische Republik (DDR)?,1919 bis 1927,1933 bis 1945,1945 bis 1961,1949 bis 1990,der Bundesadler
Wie viele Bundesländer kamen bei der Wiedervereinigung 1990 zur Bundesrepublik Deutschland hinzu?,4,5,6,7,1949 bis 1990
Die Bundesrepublik Deutschland hat die Grenzen von heute seit …,1933,1949,1971,1990,5
Der 27. Januar ist in Deutschland ein offizieller Gedenktag. Woran erinnert dieser Tag?,an das Ende des Zweiten Weltkrieges,an die Verabschiedung des Grundgesetzes,an die Wiedervereinigung Deutschlands,an die Opfer des Nationalsozialismus,1990
Deutschland ist Mitglied des Schengener Abkommens. Was bedeutet das?,Deutsche können in viele Länder Europas ohne Passkontrolle reisen.,Alle Menschen können ohne Personenkontrolle in Deutschland einreisen.,Deutsche können ohne Passkontrolle in jedes Land reisen.,Deutsche können in jedem Land mit dem Euro bezahlen.,an die Opfer des Nationalsozialismus
Welches Land ist ein Nachbarland von Deutschland?,Ungarn,Portugal,Spanien,Schweiz,Deutsche können in viele Länder Europas ohne Passkontrolle reisen.
Welches Land ist ein Nachbarland von Deutschland?,Rumänien,Bulgarien,Polen,Griechenland,Schweiz
Was bedeutet die Abkürzung EU?,Europäische Unternehmen,Europäische Union,Einheitliche Union,Euro Union,Polen
In welchem anderen Land gibt es eine große deutschsprachige Bevölkerung?,Tschechien,Norwegen,Spanien,Österreich,Europäische Union
Welche ist die Flagge der Europäischen Union?,Bild 1,Bild 2,Bild 3,Bild 4,Österreich
Welches Land ist ein Nachbarland von Deutschland?,Finnland,Dänemark,Norwegen,Schweden,kein
Wie wird der Beitritt der DDR zur Bundesrepublik Deutschland im Jahr 1990 allgemein genannt?,NATO-Osterweiterung,EU-Osterweiterung,Deutsche Wiedervereinigung,Europäische Gemeinschaft,Dänemark
Welches Land ist ein Nachbarland von Deutschland?,Spanien,Bulgarien,Norwegen,Luxemburg,Deutsche Wiedervereinigung
"Das Europäische Parlament wird regelmäßig gewählt, nämlich alle …",5 Jahre,6 Jahre,7 Jahre,8 Jahre,Luxemburg
"Was bedeutet der Begriff ""europäische Integration""?",Damit sind amerikanische Einwanderinnen und Einwanderer in Europa gemeint.,Der Begriff meint den Einwanderungsstopp nach Europa.,Damit sind europäische Auswanderinnen und Auswanderer in den USA gemeint.,Der Begriff meint den Zusammenschluss europäischer Staaten zur EU,5 Jahre
Wer wird bei der Europawahl gewählt?,die Europäische Kommission,"die Länder, die in die EU eintreten dürfen",die Abgeordneten des Europäischen Parlaments,die europäische Verfassung,Der Begriff meint den Zusammenschluss europäischer Staaten zur EU
Welches Land ist ein Nachbarland von Deutschland?,Tschechien,Bulgarien,Griechenland,Portugal,die Abgeordneten des Europäischen Parlaments
Wo ist der Sitz des Europäischen Parlaments?,London,Paris,Berlin,Straßburg,Tschechien
Der damalige französische Staatspräsident François Mitterrand und der damalige deutsche Bundeskanzler Helmut Kohl gedenken in Verdun gemeinsam der Toten beider Weltkriege. Welches Ziel der Europäischen Union wird bei diesem Treffen deutlich?,Freundschaft zwischen England und Deutschland,Reisefreiheit in alle Länder der EU,Frieden und Sicherheit in den Ländern der EU,einheitliche Feiertage in den Ländern der EU,Straßburg
Wie viele Mitgliedstaaten hat die EU heute?,21,23,25,27,Frieden und Sicherheit in den Ländern der EU
"2007 wurde das 50-jährige Jubiläum der ""Römischen Verträge"" gefeiert. Was war der Inhalt der Verträge?",Beitritt Deutschlands zur NATO,Gründung der Europäischen Wirtschaftsgemeinschaft (EWG),Verpflichtung Deutschlands zu Reparationsleistungen,Festlegung der Oder-Neiße-Linie als Ostgrenze,27
An welchen Orten arbeitet das Europäische Parlament?,"Paris, London und Den Haag","Straßburg, Luxemburg und Brüssel","Rom, Bern und Wien","Bonn, Zürich und Mailand",Gründung der Europäischen Wirtschaftsgemeinschaft (EWG)
Durch welche Verträge schloss sich die Bundesrepublik Deutschland mit anderen Staaten zur Europäischen Wirtschaftsgemeinschaft zusammen?,"durch die ""Hamburger Verträge""","durch die ""Römischen Verträge""","durch die ""Pariser Verträge""","durch die ""Londoner Verträge""","Straßburg, Luxemburg und Brüssel"
Seit wann bezahlt man in Deutschland mit dem Euro in bar?,1995,1998,2002,2005,"durch die ""Römischen Verträge"""
"Frau Seger bekommt ein Kind. Was muss sie tun, um Elterngeld zu erhalten?",Sie muss an ihre Krankenkasse schreiben.,Sie muss einen Antrag bei der Elterngeldstelle stellen.,"Sie muss nichts tun, denn sie bekommt automatisch Elterngeld.",Sie muss das Arbeitsamt um Erlaubnis bitten.,2002
"Wer entscheidet, ob ein Kind in Deutschland in den Kindergarten geht?",der Staat,die Bundesländer,die Eltern/die Erziehungsberechtigten,die Schulen,Sie muss einen Antrag bei der Elterngeldstelle stellen.
Maik und Sybille wollen mit Freunden an ihrem deutschen Wohnort eine Demonstration auf der Straße abhalten. Was müssen sie vorher tun?,Sie müssen die Demonstration anmelden.,Sie müssen nichts tun. Man darf in Deutschland jederzeit überall demonstrieren.,"Sie können gar nichts tun, denn Demonstrationen sind in Deutschland grundsätzlich verboten.","Maik und Sybille müssen einen neuen Verein gründen, weil nur Vereine demonstrieren dürfen.",die Eltern/die Erziehungsberechtigten
"Welchen Schulabschluss braucht man normalerweise, um an einer Universität in Deutschland ein Studium zu beginnen?",das Abitur,ein Diplom,die Prokura,eine Gesellenprüfung,Sie müssen die Demonstration anmelden.
Wer darf in Deutschland nicht als Paar zusammenleben?,Hans (20 Jahre) und Marie (19 Jahre),Tom (20 Jahre) und Klaus (45 Jahre),Sofie (35 Jahre) und Lisa (40 Jahre),Anne (13 Jahre) und Tim (25 Jahre),das Abitur
Ab welchem Alter ist man in Deutschland volljährig?,16,18,19,21,Anne (13 Jahre) und Tim (25 Jahre)
Eine Frau ist schwanger. Sie ist kurz vor und nach der Geburt ihres Kindes vom Gesetz besonders beschützt. Wie heißt dieser Schutz?,Elternzeit,Mutterschutz,Geburtsvorbereitung,Wochenbett,18
Die Erziehung der Kinder ist in Deutschland ist vor allem Aufgabe …,des Staates,der Eltern,der Großeltern,der Schulen,Mutterschutz
Wer ist in Deutschland hauptsächlich verantwortlich für die Kindererziehung?,der Staat,die Eltern,die Verwandten,die Schulen,der Eltern
"In Deutschland hat man die besten Chancen auf einen gut bezahlten Arbeitsplatz, wenn man …",katholisch ist,gut ausgebildet ist,eine Frau ist,Mitglied einer Partei ist,die Eltern
"Wenn man in Deutschland ein Kind schlägt, ...",geht das niemanden etwas an.,geht das nur die Familie etwas an.,kann man dafür nicht bestraft werden.,kann man dafür bestraft werden.,gut ausgebildet ist
In Deutschland ...,darf man zur gleichen Zeit nur mit einer Partnerin/einem Partner verheiratet sein.,kann man mehrere Ehepartnerinnen/Ehepartner gleichzeitig haben.,"darf man nicht wieder heiraten, wenn man einmal verheiratet war.","darf eine Frau nicht wieder heiraten, wenn ihr Mann gestorben ist.",kann man dafür bestraft werden.
"Wo müssen Sie sich anmelden, wenn Sie in Deutschland umziehen?",beim Einwohnermeldeamt,beim Standesamt,beim Ordnungsamt,beim Gewerbeamt,darf man zur gleichen Zeit nur mit einer Partnerin/einem Partner verheiratet sein.
"In Deutschland dürfen Ehepaare sich scheiden lassen. Meistens müssen sie dazu das ""Trennungsjahr"" einhalten. Was bedeutet das?",Der Scheidungsprozess dauert ein Jahr.,"Mann und Frau sind ein Jahr verheiratet, dann ist die Scheidung möglich.",Das Besuchsrecht für die Kinder gilt ein Jahr.,Mann und Frau führen mindestens ein Jahr getrennt ihr eigenes Leben. Danach ist die Scheidung möglich.,beim Einwohnermeldeamt
